term,sense,sentence,class,confidence,pred_labels,replace_words,target_words
confront,confront#v#3,We confronted him with the evidence,literal,0.8,misc,[''],['']
confront,confront#v#4,The child screamed when he confronted the man in the Halloween costume,literal,0.8,metaphor,['face'],['confronted']
confuse,confuse#v#2,These questions confuse even the experts.,literal,0.9,metaphor,['blur'],['confuse']
confuse,confuse#v#3,The constant attention of the young man confused her.,literal,1,metaphor,['disordered'],['confused']
confuse,confuse#v#5,Her remarks confused the debate.,literal,0.7,metaphor,['flurry'],['confused']
consider,consider#v#2,consider the possibility of moving,literal,0.9,metaphor,['respect'],['consider']
consider,consider#v#4,You must consider her age,literal,0.8,metaphor,['disrespect'],['consider']
consider,consider#v#5,They considered the possibility of a strike,literal,0.9,metaphor,['deliberate'],['considered']
consider,consider#v#9,Please consider your family,literal,0.9,literal,['feel'],['consider']
consolidate,consolidate#v#1,The companies consolidated,literal,0.8,literal,['amalgamated'],['consolidated']
consolidate,consolidate#v#2,consolidate one's gains,literal,0.7,literal,['consolidate'],['consolidate']
consolidate,consolidate#v#3,The town and county schools are being consolidated,literal,0.9,metaphor,['fused'],['consolidated']
consolidate,consolidate#v#4,The mud had consolidated overnight,literal,0.9,metaphor,['fused'],['consolidated']
consolidate,consolidate#v#5,consolidate fibers into boards,literal,0.9,misc,[''],['']
constitutionalize,constitutionalize#v#1,The United States were constitutionalized in the late 18th century,literal,0.9,literal,['late'],['late']
constitutionalize,constitutionalize#v#2,A good way of exercising is to constitutionalize,literal,0.7,literal,['safe'],['good']
constitutionalize,constitutionalize#v#3,A woman's right to an abortion was constitutionalized in the 1970's,literal,0.7,misc,[''],['']
construct,construct#v#3,construct an equilateral triangle,literal,0.9,metaphor,['frame'],['construct']
construct,construct#v#4,construct a sentence,literal,0.8,metaphor,['frame'],['construct']
construct,construct#v#5,construct an argument,literal,0.6,metaphor,['notion'],['construct']
consume,consume#v#4,The fire consumed the building,metaphor,0.6,metaphor,['smoke'],['consumed']
consume,consume#v#5,this car consumes a lot of gas,literal,0.6,metaphor,['smoke'],['consumes']
consume,consume#v#6,The effort to pass the exam consumed all his energy,literal,0.6,metaphor,['exhaust'],['consumed']
continue,continue#v#1,We continued to work into the night,literal,0.9,misc,[''],['']
continue,continue#v#10,The bad weather continued for two more weeks,literal,0.9,metaphor,['roar'],['continued']
continue,continue#v#5,We cannot continue several servants any longer,literal,0.7,literal,['various'],['several']
continue,continue#v#6,We continued our research into the cause of the illness,literal,0.9,metaphor,['prevail'],['continued']
continue,continue#v#7,The demonstration continued after a break for lunch,literal,0.9,metaphor,['sweep'],['continued']
converge,converge#v#3,The crowd converged on the movie star.,literal,0.7273,metaphor,['breast'],['converged']
converge,converge#v#4,Social forces converged to bring the Fascists back to power.,metaphor,0.5,metaphor,['concentrate'],['converged']
convulse,convulse#v#1,The comedian convulsed the crowd,metaphor,0.7,metaphor,['slash'],['convulsed']
convulse,convulse#v#4,earthquakes convulsed the countryside,literal,0.6,metaphor,['slash'],['convulsed']
convulse,convulse#v#6,The muscles in her face convulsed,literal,0.9,metaphor,['slash'],['convulsed']
cook,cook#v#1,My husband doesn't cook,literal,1,literal,['devil'],['cook']
cook,cook#v#3,These potatoes have to cook for 20 minutes,literal,1,misc,[''],['']
cook,cook#v#5,The apothecary cooked the medicinal mixture in a big iron kettle,literal,0.9,literal,['stew'],['cooked']
correct,correct#v#4,engineers will work to correct the effects or air resistance,literal,0.8,metaphor,['workpiece'],['work']
correct,correct#v#6,the stock market corrected,metaphor,0.5,metaphor,['slump'],['corrected']
correct,correct#v#8,The new contact lenses will correct for his myopia,literal,0.7,literal,['right'],['correct']
count,count#v#1,Can you count the books on your shelf?,literal,1,metaphor,['look'],['count']
count,count#v#4,The toddler could count to 100,literal,1,metaphor,['circulation'],['count']
count,count#v#5,The academy counts several Nobel Prize winners among its members,literal,0.7,metaphor,['number'],['counts']
count,count#v#6,I can count my colleagues in the opposition,literal,0.7,metaphor,['matter'],['count']
count,count#v#7,each answer counts as three points,literal,0.7,literal,['count'],['counts']
count,count#v#8,you can count on me to help you any time,metaphor,0.6,literal,['comfort'],['help']
crawl,crawl#v#1,The crocodile was crawling along the riverbed,literal,1,literal,['creeping'],['crawling']
crawl,crawl#v#2,My skin crawled--I was terrified,metaphor,0.8,literal,['creep'],['crawled']
crawl,crawl#v#3,The old cheese was crawling with maggots,metaphor,0.6,literal,['old'],['old']
crawl,crawl#v#5,European children learn the breast stroke; they often don't know how to crawl,literal,1,misc,[''],['how']
credit,credit#v#1,We credited her for saving our jobs,literal,0.6,metaphor,['self-preservation'],['saving']
credit,credit#v#2,She was not properly credited in the program,literal,0.8,metaphor,['right'],['properly']
credit,credit#v#3,We credit your account with $100,literal,0.9,literal,['credit'],['credit']
crown,crown#v#1,The prince was crowned in Westminster Abbey,literal,0.9,literal,['crown'],['crowned']
crown,crown#v#2,The speech crowned the meeting,metaphor,0.7,literal,['crown'],['crowned']
crown,crown#v#3,A weather vane crowns the building,metaphor,0.7,metaphor,['hilltop'],['crowns']
crush,crush#v#2,crush an aluminum can,literal,1,metaphor,['shell'],['crush']
crush,crush#v#4,The car crushed the toy,literal,0.9,metaphor,['shell'],['crushed']
crush,crush#v#5,She was crushed by his refusal of her invitation,metaphor,0.8,misc,[''],['']
crush,crush#v#8,The plastic bottle crushed against the wall,literal,0.9,metaphor,['shell'],['crushed']
culminate,culminate#v#1,The meeting culminated in a tearful embrace.,metaphor,0.5,literal,['weeping'],['tearful']
culminate,culminate#v#2,Seurat culminated pointillism.,metaphor,0.6,metaphor,['crown'],['culminated']
culminate,culminate#v#5,The helmet culminated in a crest.,literal,0.6,metaphor,['crown'],['culminated']
curl,curl#v#1,The cigar smoke curled up at the ceiling.,metaphor,0.5,literal,['coil'],['curled']
curl,curl#v#2,She curled farther down under the covers.,metaphor,0.5,misc,[''],['']
curl,curl#v#4,"Curl my hair, please.",literal,1,metaphor,['roll'],['Curl']
dance,dance#v#1,The young girl danced into the room.,literal,0.9,metaphor,['heel'],['danced']
dance,dance#v#2,My husband and I like to dance at home to the radio.,literal,0.9583,metaphor,['love'],['like']
dance,dance#v#3,The children danced with joy.,literal,0.8,literal,['dance'],['danced']
dash,dash#v#1,She dashed into the yard,literal,0.8,misc,[''],['']
dash,dash#v#3,He dashed the plate against the wall,literal,0.7,metaphor,['dash'],['dashed']
dash,dash#v#4,dashed ambitions and hopes,metaphor,0.5,literal,['plunge'],['dashed']
dash,dash#v#5,dashed by the refusal,metaphor,0.6,misc,[''],['']
dash,dash#v#6,blue paint dashed with white,literal,0.6,metaphor,['dash'],['dashed']
date,date#v#2,The package is dated November 24,literal,1,literal,['date'],['dated']
date,date#v#3,Scientists often cannot date precisely archeological or prehistorical findings,literal,0.7,literal,['often'],['often']
date,date#v#5,She wrote the letter on Monday but she dated it Saturday so as not to reveal that she procrastinated,literal,0.9,metaphor,['sign'],['wrote']
dawn,dawn#v#1,It dawned on him that she had betrayed him,metaphor,0.7,misc,[''],['']
dawn,dawn#v#2,The age of computers had dawned,metaphor,0.7,metaphor,['dawn'],['dawned']
dawn,dawn#v#3,"It started to dawn, and we had to get up",literal,0.8,misc,[''],['']
debut,debut#v#1,The band debuts a new song or two each month,literal,0.8,metaphor,['entry'],['debuts']
debut,debut#v#2,"The new ballet that debuts next months at Covent Garden, is already sold out",literal,0.8,metaphor,['pyramid'],['sold']
debut,debut#v#3,This young soprano debuts next month at the Metropolitan Opera,literal,0.9,metaphor,['new'],['young']
decide,decide#v#1,We finally decided after lengthy deliberations,literal,0.9,literal,['finally'],['finally']
decide,decide#v#2,The case was decided,literal,0.9,metaphor,['rule'],['decided']
decide,decide#v#3,This new development finally decided me!,literal,0.8,literal,['finally'],['finally']
decide,decide#v#4,The vote in New Hampshire often decides the outcome of the Presidential election,literal,0.8,literal,['presidential'],['Presidential']
declare,declare#v#1,He declared that he needed more money to carry out the task he was charged with,literal,0.9,literal,['more'],['more']
declare,declare#v#2,The President declared war,literal,0.9,metaphor,['decree'],['declared']
declare,declare#v#3,He declared that he was innocent,literal,0.9,misc,[''],['']
declare,declare#v#4,She was declared incompetent,literal,0.9,misc,[''],['']
declare,declare#v#7,Do you have anything to declare?,literal,0.9,misc,[''],['']
declare,declare#v#8,His wife declared at once for moving to the West Coast,literal,0.8,metaphor,['promise'],['declared']
decline,decline#v#3,he declined to join the group on a hike,literal,0.7,metaphor,['union'],['join']
decline,decline#v#5,The roof declines here,literal,0.9,metaphor,['steep'],['declines']
decline,decline#v#7,"in many languages, speakers decline nouns, pronouns, and adjectives",literal,0.8,literal,['many'],['many']
deflate,deflate#v#2,deflate the air mattress,literal,1,metaphor,['puncture'],['deflate']
deflate,deflate#v#3,The bad review of his work deflated his self-confidence,metaphor,0.6,literal,['puncture'],['deflated']
deflate,deflate#v#4,The new measures deflated the economy,metaphor,1,literal,['puncture'],['deflated']
deflate,deflate#v#5,deflate the currency,metaphor,0.7,metaphor,['puncture'],['deflate']
deflate,deflate#v#6,The balloons deflated,literal,1,literal,['puncture'],['deflated']
deform,deform#v#1,the heat deformed the plastic sculpture,literal,0.9,literal,['crank'],['deformed']
deform,deform#v#4,The sidewalk deformed during the earthquake,literal,0.9,misc,[''],['']
deform,deform#v#5,His body was deformed by leprosy,literal,0.9,metaphor,['strain'],['deformed']
dehydrate,dehydrate#v#1,You should carry dehydrated food on your camping trip.,literal,1,metaphor,['cart'],['carry']
dehydrate,dehydrate#v#2,All this exercise and sweating has dehydrated me.,literal,0.92,literal,['dried'],['dehydrated']
dehydrate,dehydrate#v#3,"In the desert, you get dehydrated very quickly.",literal,1,literal,['quick'],['quickly']
demand,demand#v#1,The victim's family is demanding compensation,literal,0.8,metaphor,['claim'],['demanding']
demand,demand#v#3,The bank demanded payment of the loan,literal,1,metaphor,['cost'],['demanded']
demand,demand#v#6,I demand an explanation,literal,0.9,literal,['necessity'],['demand']
denote,denote#v#1,Her smile denoted that she agreed,literal,0.7,metaphor,['cry'],['denoted']
denote,denote#v#2,`multi-' denotes `many',literal,0.6,misc,[''],['']
denote,denote#v#3,She denoted her feelings clearly,literal,0.7,literal,['clearly'],['clearly']
depress,depress#v#1,These news depressed her,literal,0.6,metaphor,['down'],['depressed']
depress,depress#v#2,The glut of oil depressed gas prices,metaphor,0.6,metaphor,['chill'],['depressed']
depress,depress#v#3,The lack of rain had depressed the water level in the reservoir,metaphor,0.6,metaphor,['lower'],['depressed']
depress,depress#v#5,The rising inflation depressed the economy,literal,0.6,metaphor,['lower'],['depressed']
desert,desert#v#1,The mother deserted her children,literal,0.8,metaphor,['rat'],['deserted']
desert,desert#v#2,"If soldiers deserted Hitler's army, they were shot",literal,1,literal,['deserted'],['deserted']
desert,desert#v#3,the students deserted the campus after the end of exam period,literal,0.7,metaphor,['ditch'],['deserted']
design,design#v#2,This room is not designed for work.,literal,0.7,literal,['design'],['designed']
design,design#v#3,Chanel designed the famous suit.,literal,1,literal,['design'],['designed']
design,design#v#4,It is difficult to design a better mousetrap.,literal,0.6,misc,[''],['']
design,design#v#5,Dupont designs for the house of Chanel.,literal,0.8947,misc,[''],['']
design,design#v#6,She designed a good excuse for not attending classes that day.,metaphor,0.6,metaphor,['eye'],['attending']
design,design#v#7,She designed to go far in the world of business.,literal,0.5417,misc,[''],['']
devour,devour#v#1,Fire had devoured our home,metaphor,0.7,metaphor,['down'],['devoured']
devour,devour#v#2,She devoured his novels,metaphor,1,metaphor,['pig'],['devoured']
devour,devour#v#4,he devoured three sandwiches,literal,0.9,metaphor,['down'],['devoured']
digest,digest#v#1,I cannot digest milk products,literal,1,literal,['stomach'],['digest']
digest,digest#v#2,I cannot digest all this information,metaphor,0.6,literal,['stomach'],['digest']
digest,digest#v#4,Protein digests in a few hours,literal,0.9,literal,['few'],['few']
digest,digest#v#5,the government digested the entire law into a code,metaphor,0.8,metaphor,['support'],['digested']
discolor,discolor#v#1,The painting discolored.,literal,0.9,literal,['tan'],['discolored']
discolor,discolor#v#2,The detergent discolored my shirts.,literal,1,literal,['tan'],['discolored']
discolor,discolor#v#3,The shirts discolored.,literal,1,literal,['tan'],['discolored']
dismiss,dismiss#v#1,She dismissed his advances,literal,0.8,metaphor,['retire'],['dismissed']
dismiss,dismiss#v#2,This case is dismissed!,literal,0.9,metaphor,['disregard'],['dismissed']
dismiss,dismiss#v#5,I was dismissed after I gave my report,literal,1,metaphor,['vow'],['gave']
distil,distil#v#2,distill the essence of this compound,literal,0.9,literal,['purify'],['distill']
distil,distil#v#4,The doctor distilled a few drops of disinfectant onto the wound,literal,0.9,literal,['condense'],['distilled']
distill,distill#v#3,distill the essence of this compound,literal,0.8,literal,['purify'],['distill']
distill,distill#v#5,The doctor distilled a few drops of disinfectant onto the wound,literal,0.9,literal,['condense'],['distilled']
divide,divide#v#1,divide the cake into three equal parts,literal,1,literal,['separate'],['divide']
divide,divide#v#2,Can you divide 49 by seven?,literal,0.8,misc,[''],['']
divide,divide#v#3,The mountain range divides the two countries,literal,0.7,metaphor,['separate'],['divides']
double,double#v#1,The population doubled within 50 years,literal,0.9,literal,['doubled'],['doubled']
double,double#v#3,He doubled and vomited violently,literal,0.6,literal,['violently'],['violently']
double,double#v#4,She doubles as his wife and secretary,literal,0.7,misc,[''],['']
down,down#v#1,He downed three martinis before dinner.,metaphor,0.7,misc,[''],['']
down,down#v#2,Some people can down a pound of meat in the course of one meal.,metaphor,0.7,misc,[''],['']
down,down#v#5,The policeman downed the heavily armed suspect.,metaphor,0.5,metaphor,['down'],['downed']
downsize,downsize#v#1,Three secretaries were downsized during the financial crisis.,metaphor,0.5,literal,['downsize'],['downsized']
downsize,downsize#v#2,The car makers downsized the SUVs when fuel became very expensive.,metaphor,0.5,literal,['downsize'],['downsized']
downsize,downsize#v#3,The company downsized its research staff.,literal,0.7,literal,['downsize'],['downsized']
drain,drain#v#1,The rain water drains into this big vat.,literal,0.9,literal,['heavy'],['big']
drain,drain#v#2,The exercise class drains me of energy.,metaphor,0.8,literal,['trap'],['drains']
drain,drain#v#3,We drained the oil tank.,literal,0.9,metaphor,['waste'],['drained']
drain,drain#v#4,Life in the camp drained him.,metaphor,0.9091,metaphor,['dead'],['drained']
drift,drift#v#10,snow drifting several feet high,literal,1,literal,['various'],['several']
drift,drift#v#4,stock prices are drifting higher,metaphor,1,metaphor,['range'],['drifting']
drift,drift#v#5,My son drifted around for years in California before going to law school,metaphor,0.6,metaphor,['tide'],['drifted']
drift,drift#v#6,The unknown young man drifted among the invited guests,metaphor,0.5,metaphor,['stranger'],['unknown']
drift,drift#v#7,drift the boats downstream,literal,0.9,literal,['float'],['drift']
drift,drift#v#8,drift the cattle herds westwards,literal,0.7,literal,['tide'],['drift']
drift,drift#v#9,The stock market drifted upward,metaphor,0.6,metaphor,['float'],['drifted']
drink,drink#v#1,The patient must drink several liters each day,literal,0.9,literal,['various'],['several']
drink,drink#v#2,We were up drinking all night,literal,1,metaphor,['lap'],['drinking']
drink,drink#v#4,The mother drinks in every word of her son on the stage,metaphor,0.7,literal,['potion'],['drinks']
drink,drink#v#5,The husband drinks and beats his wife,literal,1,metaphor,['cane'],['beats']
drown,drown#v#1,I was drowned in work,metaphor,0.7,misc,[''],['']
drown,drown#v#2,She drowned her trouble in alcohol,metaphor,0.7,literal,['swim'],['drowned']
drown,drown#v#3,The child drowned in the lake,literal,1,literal,['swim'],['drowned']
drown,drown#v#4,He drowned the kittens,literal,1,literal,['swim'],['drowned']
dull,dull#v#1,Age had dulled the surface,literal,0.8,metaphor,['cloud'],['dulled']
dull,dull#v#2,the varnished table top dulled with time,literal,0.9,metaphor,['seal'],['varnished']
dull,dull#v#5,Too much cutting dulls the knife's edge,literal,0.8,literal,['often'],['much']
dull,dull#v#7,Middle age dulled her appetite for travel,metaphor,0.8,metaphor,['mute'],['dulled']
dump,dump#v#1,No dumping in these woods!,literal,0.9,misc,[''],['']
dump,dump#v#2,The company dumped him after many years of service,metaphor,0.7,literal,['many'],['many']
dump,dump#v#4,The truck dumped the garbage in the street,literal,0.9,literal,['ditch'],['dumped']
ease,ease#v#1,He eased himself into the chair,literal,0.7,misc,[''],['']
ease,ease#v#2,ease the pain in your legs,literal,0.9,literal,['comfort'],['ease']
ease,ease#v#4,The news eased my conscience,literal,0.6,metaphor,['comfort'],['eased']
eat,eat#v#1,She was eating a banana,literal,1,literal,['wolf'],['eating']
eat,eat#v#2,We did not eat until 10 P.M. because there were so many phone calls,literal,1,literal,['many'],['many']
eat,eat#v#3,This dog doesn't eat certain kinds of meat,literal,1,literal,['rust'],['eat']
emerge,emerge#v#1,"Suddenly, the proprietor emerged from his office",literal,0.8,metaphor,['break'],['emerged']
emerge,emerge#v#3,Some nice results emerged from the study,metaphor,0.7,metaphor,['leak'],['emerged']
emerge,emerge#v#4,He felt new emotions emerge,literal,0.7,literal,['break'],['emerge']
end,end#v#2,She ended their friendship when she found out that he had once been convicted of a crime.,literal,0.96,literal,['once'],['once']
end,end#v#3,This sad scene ended the movie.,literal,0.6957,metaphor,['break'],['ended']
end,end#v#4,The terrible news ended our hopes that he had survived.,literal,0.8,metaphor,['complete'],['ended']
engrave,engrave#v#1,engraved the trophy cupt with the winner's,literal,1,misc,[''],['']
engrave,engrave#v#2,The event engraved itself into her memory,metaphor,0.8,metaphor,['character'],['engraved']
engrave,engrave#v#4,engrave the pen with the owner's name,literal,1,metaphor,['character'],['engrave']
erase,erase#v#1,The Turks erased the Armenians in 1915,metaphor,0.6,metaphor,['sponge'],['erased']
erase,erase#v#2,Please erase the formula on the blackboard--it is wrong!,literal,1,metaphor,['sponge'],['erase']
erase,erase#v#3,Who erased the files form my hard disk?,literal,0.9,literal,['hard'],['hard']
erupt,erupt#v#2,Unrest erupted in the country,metaphor,0.5,metaphor,['break'],['erupted']
erupt,erupt#v#4,The tooth erupted and had to be extracted,metaphor,0.5,metaphor,['flare'],['erupted']
erupt,erupt#v#5,Vesuvius erupts once in a while,literal,1,metaphor,['flare'],['erupts']
erupt,erupt#v#7,A rash erupted on her arms after she had touched the exotic plant,metaphor,0.5,metaphor,['brush'],['touched']
escape,escape#v#1,The convicted murderer escaped from a high security prison,literal,0.9,metaphor,['heights'],['high']
escape,escape#v#5,We escaped to our summer house for a few days,metaphor,0.5,literal,['few'],['few']
escape,escape#v#7,Gas escaped into the bedroom,literal,0.7,metaphor,['loose'],['escaped']
excavate,excavate#v#1,Schliemann excavated Troy.,literal,0.9,metaphor,['trench'],['excavated']
excavate,excavate#v#3,Carnegie had a lake excavated for Princeton University's rowing team.,literal,1,misc,[''],['']
excavate,excavate#v#4,The mining company wants to excavate the hillside.,literal,0.9,metaphor,['deficit'],['wants']
exclude,exclude#v#1,The bad results were excluded from the report,literal,0.9,metaphor,['liability'],['bad']
exclude,exclude#v#3,The cost for the trip excludes food and beverages,literal,0.9,metaphor,['bar'],['excludes']
exclude,exclude#v#5,The unruly student was excluded from the game,literal,0.9,metaphor,['bar'],['excluded']
excuse,excuse#v#1,Please excuse my dirty hands,literal,0.8,metaphor,['apologise'],['excuse']
excuse,excuse#v#2,Please excuse me from this class,literal,0.9,misc,[''],['']
excuse,excuse#v#3,Your need to sleep late does not excuse your late arrival at work,literal,0.8,metaphor,['deep'],['late']
excuse,excuse#v#6,excuse someone's behavior,literal,0.8,literal,['alibi'],['excuse']
execute,execute#v#1,"In some states, criminals are executed",literal,0.9,metaphor,['action'],['executed']
execute,execute#v#2,The Mafioso who collaborated with the police was executed,literal,0.9,misc,[''],['']
execute,execute#v#3,execute the decision of the people,literal,0.6,metaphor,['action'],['execute']
execute,execute#v#4,execute a will or a deed,literal,0.6,metaphor,['action'],['execute']
execute,execute#v#7,The President executed the treaty,literal,0.6,metaphor,['action'],['executed']
exhaust,exhaust#v#1,This kind of work exhausts me.,literal,0.7,metaphor,['blow'],['exhausts']
exhaust,exhaust#v#3,One should not exhaust one's savings.,metaphor,0.8,literal,['discharge'],['exhaust']
exhaust,exhaust#v#4,We have exhausted the food supplies.,metaphor,0.7,misc,[''],['']
expect,expect#v#1,The meteorologists are expecting rain for tomorrow,literal,0.8,metaphor,['require'],['expecting']
expect,expect#v#3,We were expecting a visit from our relatives,literal,0.8,metaphor,['look'],['expecting']
expect,expect#v#4,I'm expecting a full explanation as to why these files were destroyed,literal,0.9,metaphor,['get'],['destroyed']
expect,expect#v#5,She is expecting in March,literal,0.6,misc,[''],['']
explode,explode#v#1,We exploded the nuclear bomb,literal,0.9,literal,['detonate'],['exploded']
explode,explode#v#2,The champagne bottle exploded,literal,0.9,literal,['dynamite'],['exploded']
explode,explode#v#3,The boss exploded when he heard of the resignation of the secretary,metaphor,0.8,literal,['explode'],['exploded']
explode,explode#v#5,The enemy exploded the bridge,literal,1,literal,['explode'],['exploded']
exploit,exploit#v#1,He exploit the new taxation system,literal,0.8,metaphor,['work'],['exploit']
exploit,exploit#v#2,we must exploit the resources we are given wisely,literal,0.7,literal,['wisely'],['wisely']
exploit,exploit#v#3,he is exploiting the students,literal,0.9,metaphor,['milk'],['exploiting']
express,express#v#4,Can you express this distance in kilometers?,literal,0.6667,metaphor,['smile'],['express']
express,express#v#5,Many of the laboratory animals express the trait.,metaphor,0.7,metaphor,['stress'],['express']
express,express#v#6,Italians express coffee rather than filter it.,literal,0.6,misc,[''],['']
express,express#v#7,She expressed the letter to Florida.,literal,0.7,metaphor,['curse'],['expressed']
face,face#v#4,The two sofas face each other.,literal,0.7,metaphor,['perpendicular'],['face']
face,face#v#5,Turn and face your partner now.,metaphor,0.5,metaphor,['instantly'],['now']
face,face#v#8,A glossy material faced the lapels of the jacket.,metaphor,0.5,metaphor,['face'],['faced']
face,face#v#9,The building was faced with beautiful stones.,metaphor,0.5,literal,['beautiful'],['beautiful']
factor,factor#v#1,a quantum computer can factor the number 15,literal,0.7,literal,['parameter'],['factor']
factor,factor#v#2,make things factor into a company's profitability,literal,0.8,metaphor,['profit'],['make']
factor,factor#v#3,You must factor in the recent developments,literal,0.7,literal,['recent'],['recent']
fasten,fasten#v#1,He fastened the lock onto the door.,literal,0.9,literal,['lock'],['fastened']
fasten,fasten#v#2,This dress fastens in the back.,literal,0.8,metaphor,['stick'],['fastens']
fasten,fasten#v#3,They fastened various nicknames to each other.,metaphor,0.6,literal,['glue'],['fastened']
fear,fear#v#1,I fear she might get aggressive,literal,0.8,misc,[''],['']
fear,fear#v#2,I fear the winters in Moscow,literal,0.7,literal,['reverence'],['fear']
fear,fear#v#3,I fear I won't make it to your wedding party,literal,0.6,misc,[''],['']
fear,fear#v#4,I fear the results of the final exams,literal,0.6,literal,['final'],['final']
ferment,ferment#v#1,The Middle East is fermenting,metaphor,0.7,metaphor,['ferment'],['fermenting']
ferment,ferment#v#2,Islam is fermenting Africa,metaphor,0.6,metaphor,['ferment'],['fermenting']
ferment,ferment#v#3,We ferment the grapes for a very long time to achieve high alcohol content,literal,1,literal,['high'],['high']
fill,fill#v#1,fill the child with pride,metaphor,0.6,metaphor,['close'],['fill']
fill,fill#v#2,The pool slowly filled with water,literal,0.9,literal,['slowly'],['slowly']
fill,fill#v#3,The liquid fills the container,literal,0.9,metaphor,['pack'],['fills']
fill,fill#v#7,He filled up on turkey,literal,0.6,misc,[''],['']
finish,finish#v#1,He finished the dishes,literal,0.7,metaphor,['broom'],['finished']
finish,finish#v#4,The carpenter finished the table beautifully,literal,0.9,metaphor,['broom'],['finished']
finish,finish#v#6,That finished me with Mary,literal,0.6,misc,[''],['']
fire,fire#v#4,The boss fired his secretary today,literal,0.7,metaphor,['anger'],['fired']
fire,fire#v#6,The soldiers were fired,literal,0.6,literal,['fire'],['fired']
fire,fire#v#9,Oil fires the furnace,literal,0.8,literal,['fuel'],['fires']
fit,fit#v#2,This piece won't fit into the puzzle,literal,0.9,literal,['pattern'],['fit']
fit,fit#v#4,He fitted other pieces of paper to his cut-out,literal,0.9,literal,['wire'],['fitted']
fit,fit#v#5,Can you fit the toy into the box?,literal,0.9,metaphor,['wire'],['fit']
fit,fit#v#7,How does this shirt fit?,literal,0.8,literal,['answer'],['fit']
flap,flap#v#2,flags flapped in the strong wind,literal,0.8,literal,['stiff'],['strong']
flap,flap#v#3,The bird flapped its wings,literal,0.9,metaphor,['flap'],['flapped']
flap,flap#v#4,The bird's wings were flapping,literal,1,misc,[''],['']
flare,flare#v#1,Every star seemed to flare with new intensity.,metaphor,0.6,metaphor,['glow'],['seemed']
flare,flare#v#2,The bellbottom pants flare out.,literal,0.6,literal,['flame'],['flare']
flare,flare#v#3,The night sky flared with the massive bombardment.,metaphor,0.8,literal,['massive'],['massive']
flash,flash#v#1,The lights were flashing,literal,1,literal,['flashing'],['flashing']
flash,flash#v#2,The headlines flashed on the screen,literal,0.7,literal,['dash'],['flashed']
flash,flash#v#4,The latest intelligence is flashed to all command posts,metaphor,0.7,literal,['flash'],['flashed']
flash,flash#v#6,he flashed a $100 bill,metaphor,0.5,literal,['dash'],['flashed']
flash,flash#v#8,A shooting star flashed and was gone,literal,0.9,literal,['dash'],['flashed']
flick,flick#v#1,The lights flicked on and off.,literal,0.6,metaphor,['thumb'],['flicked']
flick,flick#v#4,He flicked a piece of paper across the table.,literal,0.8,metaphor,['thumb'],['flicked']
flick,flick#v#8,The father flicked him with his hand.,metaphor,0.6,metaphor,['thumb'],['flicked']
float,float#v#3,He floated the logs down the river,literal,0.9,metaphor,['tide'],['floated']
float,float#v#4,The Republicans are floating the idea of a tax reform,metaphor,0.7,metaphor,['drift'],['floating']
float,float#v#5,The dancer floated across the stage,metaphor,0.7,misc,[''],['']
float,float#v#8,The government floated the ruble for a few months,metaphor,0.7,metaphor,['tide'],['floated']
flood,flood#v#2,The swollen river flooded the village,literal,1,literal,['swamp'],['flooded']
flood,flood#v#3,flood the market with tennis shoes,metaphor,0.7,literal,['swamp'],['flood']
flood,flood#v#4,Our basement flooded during the heavy rains,literal,0.9,metaphor,['dense'],['heavy']
flow,flow#v#1,The crowd flowed out of the stadium,metaphor,0.7,metaphor,['tide'],['flowed']
flow,flow#v#2,Water flowed into the cave,literal,1,metaphor,['tide'],['flowed']
flow,flow#v#3,The artist flowed the washes on the paper,metaphor,0.5,metaphor,['eddy'],['flowed']
flow,flow#v#4,The champagne flowed at the wedding,metaphor,0.5,metaphor,['course'],['flowed']
flush,flush#v#2,The garbage flushed down the river,literal,0.6,metaphor,['sluice'],['flushed']
flush,flush#v#3,the sky flushed with rosy splendor,metaphor,0.7,literal,['flushed'],['rosy']
flush,flush#v#5,flush the wound with antibiotics,metaphor,0.5,misc,[''],['']
form,form#v#1,social groups form everywhere,literal,0.8,literal,['everywhere'],['everywhere']
form,form#v#2,This wall forms the background of the stage setting,metaphor,0.5,literal,['pattern'],['forms']
form,form#v#4,form the young child's character,metaphor,0.6,metaphor,['person'],['form']
form,form#v#7,the water formed little beads,literal,0.7,metaphor,['mold'],['formed']
fracture,fracture#v#1,This writer really fractures the language.,metaphor,0.7368,literal,['very'],['really']
fracture,fracture#v#2,These events could fracture the balance of power.,metaphor,0.9,literal,['fault'],['fracture']
fracture,fracture#v#3,The pothole fractured a bolt on the axle.,literal,0.96,literal,['fracture'],['fractured']
fracture,fracture#v#4,The tibia fractured from the blow of the iron pipe.,literal,1,literal,['fracture'],['fractured']
fuel,fuel#v#1,"fuel aircraft, ships, and cars",literal,1,misc,[''],['']
fuel,fuel#v#3,The tanker fueled in Bahrain,literal,0.9,metaphor,['bunker'],['fueled']
fuel,fuel#v#4,fuel the debate on creationism,metaphor,0.7,literal,['fire'],['fuel']
gag,gag#v#1,The press was gagged,metaphor,0.7,metaphor,['quip'],['gagged']
gag,gag#v#3,The burglars gagged the home owner and tied him to a chair,literal,1,metaphor,['choke'],['gagged']
gag,gag#v#4,The students were gagging during dinner,literal,0.9,metaphor,['muzzle'],['gagging']
